imdb_id,title,type,rating,numVotes,genres,isAdult
tt2294629,Frozen,movie,7.4,582044,"Adventure,Animation,Comedy",0
tt4139588,Polar,movie,6.3,79134,"Action,Crime,Drama",0
tt3758814,The Ice Road,movie,,,Thriller,0
tt2628232,Penny Dreadful,tvSeries,8.2,113989,"Drama,Fantasy,Horror",0
tt8368408,Gunpowder Milkshake,movie,,,"Action,Adventure,Thriller",0
tt3843168,Z Nation,tvSeries,6.7,33481,"Action,Comedy,Drama",0
tt7423538,Ratched,tvSeries,7.3,43168,"Crime,Drama,Mystery",0
tt2975590,Batman v Superman: Dawn of Justice,movie,6.4,652272,"Action,Adventure,Sci-Fi",0
tt7120662,Derry Girls,tvSeries,8.4,23292,Comedy,0
tt2188671,Bates Motel,tvSeries,8.1,99088,"Drama,Horror,Mystery",0
tt0758790,The Tudors,tvSeries,8.1,69897,"Drama,History,Romance",0
tt10545250,Eden,tvSeries,6.8,539,"Action,Adventure,Animation",0
tt6257970,The End of the F***ing World,tvSeries,8.1,153983,"Adventure,Comedy,Crime",0
tt0062622,2001: A Space Odyssey,movie,8.3,616021,"Adventure,Sci-Fi",0
tt13446126,Ghost Lab,movie,5.2,714,"Drama,Horror,Thriller",0
tt5109784,Mother!,movie,6.6,197230,"Drama,Horror,Mystery",0
tt4857264,Contratiempo,movie,8.1,153843,"Crime,Drama,Mystery",0
tt10945036,The Upshaws,tvSeries,6.9,1483,Comedy,0
tt2357547,Jessica Jones,tvSeries,7.9,196265,"Action,Crime,Drama",0
tt7569592,Chilling Adventures of Sabrina,tvSeries,7.5,81102,"Drama,Fantasy,Horror",0
tt4604612,The Alienist,tvSeries,7.7,47760,"Crime,Drama,Mystery",0
tt2850272,Monster,movie,6.5,3502,"Crime,Drama",0
tt10826054,Masters of the Universe: Revelation,tvSeries,,,"Action,Adventure,Animation",0
tt1670345,Now You See Me,movie,7.2,608095,"Crime,Mystery,Thriller",0
tt9421868,Selena: The Series,tvSeries,6.8,3700,"Biography,Drama,Music",0
tt4145054,Shadowhunters: The Mortal Instruments,tvSeries,6.6,55306,"Action,Drama,Fantasy",0
tt3605418,Knock Knock,movie,4.9,86556,"Drama,Thriller",0
tt4998212,The Ranch,tvSeries,7.5,34673,"Comedy,Drama,Western",0
tt7493974,Bodyguard,tvSeries,8.1,100523,"Crime,Drama,Thriller",0
tt1695360,The Legend of Korra,tvSeries,8.4,107820,"Action,Adventure,Animation",0
tt2798920,Annihilation,movie,6.8,289420,"Adventure,Drama,Horror",0
tt0097165,Dead Poets Society,movie,8.1,438644,"Comedy,Drama",0
tt3069894,Shtisel,tvSeries,8.6,5559,Drama,0
tt8629748,Spenser Confidential,movie,6.2,75475,"Action,Comedy,Crime",0
tt11052470,Move to Heaven,tvSeries,8.8,1547,Drama,0
tt6566576,Fear Street,movie,,,"Horror,Mystery",0
tt10970552,The Haunting of Bly Manor,tvMiniSeries,7.4,75539,"Drama,Horror,Mystery",0
tt4565380,Fauda,tvSeries,8.2,21061,"Action,Drama,Thriller",0
tt1086761,Keeping Up with the Kardashians,tvSeries,2.8,27266,"Drama,Family,Reality-TV",0
tt12939812,The Nailbomber,movie,6.3,1107,"Crime,Documentary,History",0
tt10618286,Mank,movie,6.9,61633,"Biography,Comedy,Drama",0
tt8228288,El hoyo,movie,7,178372,"Horror,Sci-Fi,Thriller",0
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,movie,6.5,272462,"Action,Adventure,Fantasy",0
tt10418662,Awake,movie,4.8,2846,"Action,Adventure,Drama",0
tt6432466,Moxie,movie,6.7,18962,"Comedy,Drama,Music",0
tt5311514,Kimi no na wa.,movie,8.4,211069,"Animation,Drama,Fantasy",0
tt5164214,Ocean's Eight,movie,6.9,194623,"Action,Comedy,Crime",0
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),movie,7.7,591450,"Comedy,Drama",0
tt0904208,Californication,tvSeries,8.3,173125,"Comedy,Drama",0
tt1458175,The Next Three Days,movie,7.3,188240,"Action,Crime,Drama",0
tt10850932,Sa-rang-eui bul-sa-chak,tvSeries,8.7,15286,"Adventure,Comedy,Romance",0
tt9304350,Fruits Basket,tvSeries,8.5,2662,"Animation,Comedy,Drama",0
tt6045840,Black Lightning,tvSeries,6.1,22728,"Action,Drama,Sci-Fi",0
tt14074470,Carnaval,movie,3.8,407,Comedy,0
tt0119567,The Lost World: Jurassic Park,movie,6.6,385713,"Action,Adventure,Sci-Fi",0
